zip5	hrrcity	hrrstate	hrr	region
92033	San Diego	CA	80	13
92036	San Diego	CA	80	13
92037	San Diego	CA	80	13
92038	San Diego	CA	80	13
92039	San Diego	CA	80	13
92040	San Diego	CA	80	13
92046	San Diego	CA	80	13
92049	San Diego	CA	80	13
92051	San Diego	CA	80	13
92052	San Diego	CA	80	13
92054	San Diego	CA	80	13
92055	Orange County	CA	23	13
92056	San Diego	CA	80	13
92057	San Diego	CA	80	13
92058	San Diego	CA	80	13
92059	San Diego	CA	80	13
92060	San Bernardino	CA	79	13
92061	San Diego	CA	80	13
92064	San Diego	CA	80	13
92065	San Diego	CA	80	13
92066	San Diego	CA	80	13
92067	San Diego	CA	80	13
92068	San Diego	CA	80	13
92069	San Diego	CA	80	13
92070	San Diego	CA	80	13
92071	San Diego	CA	80	13
92072	San Diego	CA	80	13
92074	San Diego	CA	80	13
92075	San Diego	CA	80	13
92078	San Diego	CA	80	13
92079	San Diego	CA	80	13
92081	San Diego	CA	80	13
92082	San Diego	CA	80	13
92083	San Diego	CA	80	13
92084	San Diego	CA	80	13
92085	San Diego	CA	80	13
92086	San Diego	CA	80	13
92088	San Diego	CA	80	13
92090	San Diego	CA	80	13
92091	San Diego	CA	80	13
92092	San Diego	CA	80	13
92093	San Diego	CA	80	13
92096	San Diego	CA	80	13
92101	San Diego	CA	80	13
92102	San Diego	CA	80	13
92103	San Diego	CA	80	13
92104	San Diego	CA	80	13
92105	San Diego	CA	80	13
92106	San Diego	CA	80	13
92107	San Diego	CA	80	13
92108	San Diego	CA	80	13
92109	San Diego	CA	80	13
92110	San Diego	CA	80	13
92111	San Diego	CA	80	13
92112	San Diego	CA	80	13
92113	San Diego	CA	80	13
92114	San Diego	CA	80	13
92115	San Diego	CA	80	13
92116	San Diego	CA	80	13
92117	San Diego	CA	80	13
92118	San Diego	CA	80	13
92119	San Diego	CA	80	13
92120	San Diego	CA	80	13
92121	San Diego	CA	80	13
92122	San Diego	CA	80	13
92123	San Diego	CA	80	13
92124	San Diego	CA	80	13
92126	San Diego	CA	80	13
92127	San Diego	CA	80	13
92128	San Diego	CA	80	13
92129	San Diego	CA	80	13
92130	San Diego	CA	80	13
92131	San Diego	CA	80	13
92132	San Diego	CA	80	13
92133	San Diego	CA	80	13
92134	San Diego	CA	80	13
92135	San Diego	CA	80	13
92136	San Diego	CA	80	13
92137	San Diego	CA	80	13
92138	San Diego	CA	80	13
92139	San Diego	CA	80	13
92140	San Diego	CA	80	13
92142	San Diego	CA	80	13
92143	San Diego	CA	80	13
92145	San Diego	CA	80	13
92147	San Diego	CA	80	13
