zip5	hrrcity	hrrstate	hrr	region
89507	Reno	NV	280	12
89508	Reno	NV	280	12
89509	Reno	NV	280	12
89510	Reno	NV	280	12
89511	Reno	NV	280	12
89512	Reno	NV	280	12
89513	Reno	NV	280	12
89515	Reno	NV	280	12
89519	Reno	NV	280	12
89520	Reno	NV	280	12
89521	Reno	NV	280	12
89523	Reno	NV	280	12
89533	Reno	NV	280	12
89555	Reno	NV	280	12
89557	Reno	NV	280	12
89570	Reno	NV	280	12
89595	Reno	NV	280	12
89701	Reno	NV	280	12
89702	Reno	NV	280	12
89703	Reno	NV	280	12
89704	Reno	NV	280	12
89705	Reno	NV	280	12
89706	Reno	NV	280	12
89711	Reno	NV	280	12
89712	Reno	NV	280	12
89713	Reno	NV	280	12
89714	Reno	NV	280	12
89721	Reno	NV	280	12
89801	Salt Lake City	UT	423	12
89802	Salt Lake City	UT	423	12
89803	Salt Lake City	UT	423	12
89815	Salt Lake City	UT	423	12
89820	Reno	NV	280	12
89821	Salt Lake City	UT	423	12
89822	Salt Lake City	UT	423	12
89823	Salt Lake City	UT	423	12
89824	Salt Lake City	UT	423	12
89825	Boise	ID	151	12
89826	Boise	ID	151	12
89828	Salt Lake City	UT	423	12
89830	Salt Lake City	UT	423	12
89831	Boise	ID	151	12
89832	Boise	ID	151	12
89833	Salt Lake City	UT	423	12
89834	Boise	ID	151	12
89835	Salt Lake City	UT	423	12
89883	Salt Lake City	UT	423	12
90001	Los Angeles	CA	56	14
90002	Los Angeles	CA	56	14
90003	Los Angeles	CA	56	14
90004	Los Angeles	CA	56	14
90005	Los Angeles	CA	56	14
90006	Los Angeles	CA	56	14
90007	Los Angeles	CA	56	14
90008	Los Angeles	CA	56	14
90009	Los Angeles	CA	56	14
90010	Los Angeles	CA	56	14
90011	Los Angeles	CA	56	14
90012	Los Angeles	CA	56	14
90013	Los Angeles	CA	56	14
90014	Los Angeles	CA	56	14
90015	Los Angeles	CA	56	14
90016	Los Angeles	CA	56	14
90017	Los Angeles	CA	56	14
90018	Los Angeles	CA	56	14
90019	Los Angeles	CA	56	14
90020	Los Angeles	CA	56	14
90021	Los Angeles	CA	56	14
90022	Los Angeles	CA	56	14
90023	Los Angeles	CA	56	14
90024	Los Angeles	CA	56	14
90025	Los Angeles	CA	56	14
90026	Los Angeles	CA	56	14
90027	Los Angeles	CA	56	14
90028	Los Angeles	CA	56	14
90029	Los Angeles	CA	56	14
90030	Los Angeles	CA	56	14
90031	Los Angeles	CA	56	14
90032	Los Angeles	CA	56	14
90033	Los Angeles	CA	56	14
90034	Los Angeles	CA	56	14
90035	Los Angeles	CA	56	14
90036	Los Angeles	CA	56	14
90037	Los Angeles	CA	56	14
90038	Los Angeles	CA	56	14
90039	Los Angeles	CA	56	14
90040	Los Angeles	CA	56	14
90041	Los Angeles	CA	56	14
90042	Los Angeles	CA	56	14
90043	Los Angeles	CA	56	14
90044	Los Angeles	CA	56	14
90045	Los Angeles	CA	56	14
90046	Los Angeles	CA	56	14
90047	Los Angeles	CA	56	14
90048	Los Angeles	CA	56	14
90049	Los Angeles	CA	56	14
90050	Los Angeles	CA	56	14
90051	Los Angeles	CA	56	14
90052	Los Angeles	CA	56	14
90053	Los Angeles	CA	56	14
90054	Los Angeles	CA	56	14
90055	Los Angeles	CA	56	14
90056	Los Angeles	CA	56	14
90057	Los Angeles	CA	56	14
90058	Los Angeles	CA	56	14
90059	Los Angeles	CA	56	14
90060	Los Angeles	CA	56	14
90061	Los Angeles	CA	56	14
90062	Los Angeles	CA	56	14
90063	Los Angeles	CA	56	14
90064	Los Angeles	CA	56	14
90065	Los Angeles	CA	56	14
90066	Los Angeles	CA	56	14
90067	Los Angeles	CA	56	14
90068	Los Angeles	CA	56	14
90069	Los Angeles	CA	56	14
90070	Los Angeles	CA	56	14
90071	Los Angeles	CA	56	14
90072	Los Angeles	CA	56	14
90073	Los Angeles	CA	56	14
90074	Los Angeles	CA	56	14
90075	Los Angeles	CA	56	14
90076	Los Angeles	CA	56	14
90077	Los Angeles	CA	56	14
90078	Los Angeles	CA	56	14
90079	Los Angeles	CA	56	14
90080	Los Angeles	CA	56	14
90081	Los Angeles	CA	56	14
90082	Los Angeles	CA	56	14
90083	Los Angeles	CA	56	14
90084	Los Angeles	CA	56	14
90086	Los Angeles	CA	56	14
90087	Los Angeles	CA	56	14
90088	Los Angeles	CA	56	14
90089	Los Angeles	CA	56	14
90091	Los Angeles	CA	56	14
90093	Los Angeles	CA	56	14
90094	Los Angeles	CA	56	14
90095	Los Angeles	CA	56	14
90096	Los Angeles	CA	56	14
90101	Los Angeles	CA	56	14
90102	Los Angeles	CA	56	14
90103	Los Angeles	CA	56	14
90189	Los Angeles	CA	56	14
90201	Los Angeles	CA	56	14
90202	Los Angeles	CA	56	14
90209	Los Angeles	CA	56	14
90210	Los Angeles	CA	56	14
90211	Los Angeles	CA	56	14
90212	Los Angeles	CA	56	14
90213	Los Angeles	CA	56	14
90220	Los Angeles	CA	56	14
90221	Los Angeles	CA	56	14
90222	Los Angeles	CA	56	14
90223	Los Angeles	CA	56	14
90224	Los Angeles	CA	56	14
90230	Los Angeles	CA	56	14
90231	Los Angeles	CA	56	14
90232	Los Angeles	CA	56	14
90233	Los Angeles	CA	56	14
90239	Los Angeles	CA	56	14
90240	Los Angeles	CA	56	14
90241	Los Angeles	CA	56	14
90242	Los Angeles	CA	56	14
90245	Los Angeles	CA	56	14
90247	Los Angeles	CA	56	14
90248	Los Angeles	CA	56	14
90249	Los Angeles	CA	56	14
90250	Los Angeles	CA	56	14
90251	Los Angeles	CA	56	14
90254	Los Angeles	CA	56	14
90255	Los Angeles	CA	56	14
90260	Los Angeles	CA	56	14
90261	Los Angeles	CA	56	14
90262	Los Angeles	CA	56	14
90263	Los Angeles	CA	56	14
90264	Los Angeles	CA	56	14
90265	Los Angeles	CA	56	14
90266	Los Angeles	CA	56	14
90267	Los Angeles	CA	56	14
90270	Los Angeles	CA	56	14
90272	Los Angeles	CA	56	14
90274	Los Angeles	CA	56	14
90275	Los Angeles	CA	56	14
90277	Los Angeles	CA	56	14
90278	Los Angeles	CA	56	14
90280	Los Angeles	CA	56	14
90290	Los Angeles	CA	56	14
90291	Los Angeles	CA	56	14
90292	Los Angeles	CA	56	14
90293	Los Angeles	CA	56	14
90294	Los Angeles	CA	56	14
90295	Los Angeles	CA	56	14
90296	Los Angeles	CA	56	14
90301	Los Angeles	CA	56	14
90302	Los Angeles	CA	56	14
90303	Los Angeles	CA	56	14
90304	Los Angeles	CA	56	14
90305	Los Angeles	CA	56	14
90306	Los Angeles	CA	56	14
90307	Los Angeles	CA	56	14
90308	Los Angeles	CA	56	14
90309	Los Angeles	CA	56	14
90310	Los Angeles	CA	56	14
90311	Los Angeles	CA	56	14
90312	Los Angeles	CA	56	14
90313	Los Angeles	CA	56	14
90397	Los Angeles	CA	56	14
90398	Los Angeles	CA	56	14
90401	Los Angeles	CA	56	14
90402	Los Angeles	CA	56	14
90403	Los Angeles	CA	56	14
90404	Los Angeles	CA	56	14
90405	Los Angeles	CA	56	14
90406	Los Angeles	CA	56	14
90407	Los Angeles	CA	56	14
90408	Los Angeles	CA	56	14
90409	Los Angeles	CA	56	14
90410	Los Angeles	CA	56	14
90411	Los Angeles	CA	56	14
90501	Los Angeles	CA	56	14
90502	Los Angeles	CA	56	14
90503	Los Angeles	CA	56	14
90504	Los Angeles	CA	56	14
90505	Los Angeles	CA	56	14
90506	Los Angeles	CA	56	14
90507	Los Angeles	CA	56	14
90508	Los Angeles	CA	56	14
90509	Los Angeles	CA	56	14
90510	Los Angeles	CA	56	14
90601	Los Angeles	CA	56	14
90602	Los Angeles	CA	56	14
90603	Los Angeles	CA	56	14
90604	Los Angeles	CA	56	14
90605	Los Angeles	CA	56	14
90606	Los Angeles	CA	56	14
90607	Los Angeles	CA	56	14
90608	Los Angeles	CA	56	14
90609	Los Angeles	CA	56	14
90610	Los Angeles	CA	56	14
90620	Orange County	CA	23	13
90621	Orange County	CA	23	13
90622	Orange County	CA	23	13
90623	Orange County	CA	23	13
90624	Orange County	CA	23	13
90630	Orange County	CA	23	13
90631	Orange County	CA	23	13
90632	Orange County	CA	23	13
90633	Orange County	CA	23	13
90637	Los Angeles	CA	56	14
90638	Los Angeles	CA	56	14
90639	Los Angeles	CA	56	14
90640	Los Angeles	CA	56	14
90650	Los Angeles	CA	56	14
90651	Los Angeles	CA	56	14
90652	Los Angeles	CA	56	14
90659	Los Angeles	CA	56	14
90660	Los Angeles	CA	56	14
90661	Los Angeles	CA	56	14
90662	Los Angeles	CA	56	14
90670	Los Angeles	CA	56	14
90680	Orange County	CA	23	13
90701	Los Angeles	CA	56	14
90702	Los Angeles	CA	56	14
90703	Los Angeles	CA	56	14
90704	Los Angeles	CA	56	14
90706	Los Angeles	CA	56	14
90707	Los Angeles	CA	56	14
90710	Los Angeles	CA	56	14
90711	Los Angeles	CA	56	14
90712	Los Angeles	CA	56	14
90713	Los Angeles	CA	56	14
90714	Los Angeles	CA	56	14
90715	Los Angeles	CA	56	14
90716	Los Angeles	CA	56	14
90717	Los Angeles	CA	56	14
90720	Orange County	CA	23	13
90721	Orange County	CA	23	13
90723	Los Angeles	CA	56	14
90731	Los Angeles	CA	56	14
90732	Los Angeles	CA	56	14
90733	Los Angeles	CA	56	14
90734	Los Angeles	CA	56	14
90740	Orange County	CA	23	13
90742	Orange County	CA	23	13
90743	Orange County	CA	23	13
90744	Los Angeles	CA	56	14
90745	Los Angeles	CA	56	14
90746	Los Angeles	CA	56	14
90747	Los Angeles	CA	56	14
90748	Los Angeles	CA	56	14
90749	Los Angeles	CA	56	14
90755	Los Angeles	CA	56	14
90801	Los Angeles	CA	56	14
90802	Los Angeles	CA	56	14
90803	Los Angeles	CA	56	14
90804	Los Angeles	CA	56	14
90805	Los Angeles	CA	56	14
90806	Los Angeles	CA	56	14
90807	Los Angeles	CA	56	14
90808	Los Angeles	CA	56	14
90809	Los Angeles	CA	56	14
90810	Los Angeles	CA	56	14
90813	Los Angeles	CA	56	14
90814	Los Angeles	CA	56	14
90815	Los Angeles	CA	56	14
90822	Los Angeles	CA	56	14
90831	Los Angeles	CA	56	14
90832	Los Angeles	CA	56	14
90833	Los Angeles	CA	56	14
90834	Los Angeles	CA	56	14
90835	Los Angeles	CA	56	14
90840	Los Angeles	CA	56	14
90842	Los Angeles	CA	56	14
90844	Los Angeles	CA	56	14
90845	Los Angeles	CA	56	14
90846	Los Angeles	CA	56	14
90847	Los Angeles	CA	56	14
90848	Los Angeles	CA	56	14
90853	Los Angeles	CA	56	14
90888	Los Angeles	CA	56	14
90895	Los Angeles	CA	56	14
90899	Los Angeles	CA	56	14
91001	Los Angeles	CA	56	14
91003	Los Angeles	CA	56	14
91006	Los Angeles	CA	56	14
91007	Los Angeles	CA	56	14
91008	Los Angeles	CA	56	14
91009	Los Angeles	CA	56	14
91010	Los Angeles	CA	56	14
91011	Los Angeles	CA	56	14
91012	Los Angeles	CA	56	14
91016	Los Angeles	CA	56	14
91017	Los Angeles	CA	56	14
91020	Los Angeles	CA	56	14
91021	Los Angeles	CA	56	14
91023	Los Angeles	CA	56	14
91024	Los Angeles	CA	56	14
91025	Los Angeles	CA	56	14
91030	Los Angeles	CA	56	14
91031	Los Angeles	CA	56	14
91040	Los Angeles	CA	56	14
91041	Los Angeles	CA	56	14
91042	Los Angeles	CA	56	14
91043	Los Angeles	CA	56	14
91046	Los Angeles	CA	56	14
91066	Los Angeles	CA	56	14
91077	Los Angeles	CA	56	14
91101	Los Angeles	CA	56	14
91102	Los Angeles	CA	56	14
91103	Los Angeles	CA	56	14
91104	Los Angeles	CA	56	14
91105	Los Angeles	CA	56	14
91106	Los Angeles	CA	56	14
91107	Los Angeles	CA	56	14
91108	Los Angeles	CA	56	14
91109	Los Angeles	CA	56	14
91110	Los Angeles	CA	56	14
91114	Los Angeles	CA	56	14
91115	Los Angeles	CA	56	14
91116	Los Angeles	CA	56	14
91117	Los Angeles	CA	56	14
91118	Los Angeles	CA	56	14
91121	Los Angeles	CA	56	14
91123	Los Angeles	CA	56	14
91124	Los Angeles	CA	56	14
91125	Los Angeles	CA	56	14
91126	Los Angeles	CA	56	14
91129	Los Angeles	CA	56	14
91131	Los Angeles	CA	56	14
91182	Los Angeles	CA	56	14
91184	Los Angeles	CA	56	14
91185	Los Angeles	CA	56	14
91188	Los Angeles	CA	56	14
91189	Los Angeles	CA	56	14
91191	Los Angeles	CA	56	14
91199	Los Angeles	CA	56	14
91201	Los Angeles	CA	56	14
91202	Los Angeles	CA	56	14
91203	Los Angeles	CA	56	14
91204	Los Angeles	CA	56	14
91205	Los Angeles	CA	56	14
91206	Los Angeles	CA	56	14
91207	Los Angeles	CA	56	14
91208	Los Angeles	CA	56	14
91209	Los Angeles	CA	56	14
91210	Los Angeles	CA	56	14
91214	Los Angeles	CA	56	14
91221	Los Angeles	CA	56	14
91222	Los Angeles	CA	56	14
91224	Los Angeles	CA	56	14
91225	Los Angeles	CA	56	14
91226	Los Angeles	CA	56	14
91301	Ventura	CA	96	13
91302	Los Angeles	CA	56	14
91303	Los Angeles	CA	56	14
91304	Los Angeles	CA	56	14
91305	Los Angeles	CA	56	14
91306	Los Angeles	CA	56	14
91307	Los Angeles	CA	56	14
91308	Los Angeles	CA	56	14
91309	Los Angeles	CA	56	14
91310	Los Angeles	CA	56	14
91311	Los Angeles	CA	56	14
91313	Los Angeles	CA	56	14
91316	Los Angeles	CA	56	14
91319	Ventura	CA	96	13
91320	Ventura	CA	96	13
91321	Los Angeles	CA	56	14
91322	Los Angeles	CA	56	14
91324	Los Angeles	CA	56	14
91325	Los Angeles	CA	56	14
91326	Los Angeles	CA	56	14
91327	Los Angeles	CA	56	14
91328	Los Angeles	CA	56	14
91329	Los Angeles	CA	56	14
91330	Los Angeles	CA	56	14
91331	Los Angeles	CA	56	14
91333	Los Angeles	CA	56	14
91334	Los Angeles	CA	56	14
91335	Los Angeles	CA	56	14
91337	Los Angeles	CA	56	14
91340	Los Angeles	CA	56	14
91341	Los Angeles	CA	56	14
91342	Los Angeles	CA	56	14
91343	Los Angeles	CA	56	14
91344	Los Angeles	CA	56	14
91345	Los Angeles	CA	56	14
91346	Los Angeles	CA	56	14
91350	Los Angeles	CA	56	14
91351	Los Angeles	CA	56	14
91352	Los Angeles	CA	56	14
91353	Los Angeles	CA	56	14
91354	Los Angeles	CA	56	14
91355	Los Angeles	CA	56	14
91356	Los Angeles	CA	56	14
91357	Los Angeles	CA	56	14
91358	Ventura	CA	96	13
91359	Ventura	CA	96	13
91360	Ventura	CA	96	13
91361	Ventura	CA	96	13
91362	Ventura	CA	96	13
91364	Los Angeles	CA	56	14
91365	Los Angeles	CA	56	14
91367	Los Angeles	CA	56	14
91371	Los Angeles	CA	56	14
91372	Los Angeles	CA	56	14
91376	Ventura	CA	96	13
91377	Ventura	CA	96	13
91380	Los Angeles	CA	56	14
91381	Los Angeles	CA	56	14
91383	Los Angeles	CA	56	14
91384	Los Angeles	CA	56	14
91385	Los Angeles	CA	56	14
91386	Los Angeles	CA	56	14
91387	Los Angeles	CA	56	14
91388	Los Angeles	CA	56	14
91390	Los Angeles	CA	56	14
91392	Los Angeles	CA	56	14
91393	Los Angeles	CA	56	14
91394	Los Angeles	CA	56	14
91395	Los Angeles	CA	56	14
91396	Los Angeles	CA	56	14
91399	Los Angeles	CA	56	14
91401	Los Angeles	CA	56	14
91402	Los Angeles	CA	56	14
91403	Los Angeles	CA	56	14
91404	Los Angeles	CA	56	14
91405	Los Angeles	CA	56	14
91406	Los Angeles	CA	56	14
91407	Los Angeles	CA	56	14
91408	Los Angeles	CA	56	14
91409	Los Angeles	CA	56	14
91410	Los Angeles	CA	56	14
91411	Los Angeles	CA	56	14
91412	Los Angeles	CA	56	14
91413	Los Angeles	CA	56	14
91416	Los Angeles	CA	56	14
91423	Los Angeles	CA	56	14
91426	Los Angeles	CA	56	14
91436	Los Angeles	CA	56	14
91470	Los Angeles	CA	56	14
91482	Los Angeles	CA	56	14
91495	Los Angeles	CA	56	14
91496	Los Angeles	CA	56	14
91497	Los Angeles	CA	56	14
91499	Los Angeles	CA	56	14
91501	Los Angeles	CA	56	14
91502	Los Angeles	CA	56	14
91503	Los Angeles	CA	56	14
91504	Los Angeles	CA	56	14
91505	Los Angeles	CA	56	14
91506	Los Angeles	CA	56	14
91507	Los Angeles	CA	56	14
91508	Los Angeles	CA	56	14
91510	Los Angeles	CA	56	14
91521	Los Angeles	CA	56	14
91522	Los Angeles	CA	56	14
91523	Los Angeles	CA	56	14
91526	Los Angeles	CA	56	14
