mprovno type
010001	7
010005	7
010006	0
010007	0
010008	0
010009	0
010010	0
010011	0
010012	16
010015	0
010016	0
010018	0
010019	0
010021	0
010022	14
010023	0
010024	0
010025	7
010027	0
010029	7
010032	0
010033	0
010034	0
010035	7
010036	0
010038	0
010039	0
010040	0
010043	0
010044	0
010045	14
010046	0
010047	14
010049	0
010050	0
010051	0
010052	0
010054	0
010055	0
010056	0
010058	0
010059	0
010061	16
010062	16
010064	0
010065	7
010066	0
010069	16
010073	0
010078	0
010079	0
010083	7
010085	0
010086	0
010087	0
010089	0
010090	0
010091	0
010092	0
010095	0
010097	0
010099	0
010100	7
010101	7
010102	16
010103	0
010104	0
010108	0
010109	16
010110	16
010112	16
010113	0
010114	0
010118	17
010120	16
010125	16
010126	0
010128	0
010129	0
010130	0
010131	0
010137	0
010138	0
010139	0
010143	14
010144	0
010145	0
010146	0
010148	0
010149	0
010150	0
010152	0
010157	0
010158	0
010164	0
010167	0
010168	0
020001	0
020006	16
020008	16
020012	17
020014	16
020017	0
020018	8
020024	16
020026	8
020027	8
020028	0
030001	0
030002	0
030006	0
030007	16
030010	0
030011	0
030012	16
030013	17
030014	0
030016	0
030017	0
030018	0
030019	0
030022	0
030023	17
030024	0
030030	0
030033	16
030036	0
030037	0
030038	0
030043	16
030055	17
030061	0
030062	16
030064	0
030065	0
030067	16
030068	16
030069	17
030071	8
030073	8
030074	8
030077	8
030078	8
030083	0
030084	8
030085	0
030087	0
030088	0
030089	0
030092	0
030093	0
030094	0
030099	16
030100	0
030101	7
030102	0
030103	0
030105	0
030106	0
030107	0
030108	0
030110	0
030111	0
030112	0
030113	8
030114	0
030115	0
030117	0
030118	0
030119	0
030120	0
030121	0
030122	0
040001	0
040002	14
040004	0
040007	0
040010	0
040011	16
040014	17
040015	16
040016	0
040017	17
040018	0
040019	16
040020	7
040021	0
040022	0
040026	7
040027	17
040029	0
040036	0
040039	7
040041	7
040042	0
040047	16
040050	16
040051	16
040055	0
040062	0
040067	16
040069	17
040071	16
040072	14
040074	0
040076	14
040078	7
040080	16
040081	14
040084	0
040085	16
040088	17
040091	16
040114	0
040118	0
040119	17
040134	0
040137	0
040138	0
040141	0
040142	0
040145	0
040147	0
