cty	benchmark
11940	716.25
11941	716.25
11950	716.25
11960	779.58
11961	765.52
11962	782.3
11963	716.25
11970	716.25
11971	722.33
11972	716.25
11973	716.25
11980	716.25
12010	716.25
12020	791.62
12030	716.25
12040	716.25
12050	721.66
13000	791.62
13010	716.25
13020	716.25
13030	755.8
13040	723.64
13050	716.25
13060	737.95
13070	791.62
13080	716.25
13090	716.25
13100	716.25
13110	716.25
13120	716.25
13130	791.62
13140	716.25
13150	716.25
13160	917.94
13170	733.53
13180	792.54
13190	719.1
13200	716.25
13210	716.25
13220	791.62
13230	716.25
13240	716.25
13250	716.25
13260	716.25
13270	743.1
13280	716.25
13290	774.43
13300	716.25
13310	716.25
13320	716.25
13330	716.25
13340	718.78
13350	718.98
13360	791.62
13370	716.25
13380	716.25
13390	729.28
13400	930.81
13410	716.25
13420	716.25
13430	716.25
14000	716.25
14010	716.25
14020	791.62
14030	791.62
14040	716.25
14050	716.25
14060	861.98
14070	716.25
14080	716.25
14090	716.25
14100	724.97
14110	716.25
14120	769.32
14130	791.62
14140	716.25
14141	842.41
14150	716.25
14160	716.25
14170	791.62
14180	716.25
14190	716.25
14250	791.62
14310	716.25
14320	716.25
14330	716.25
14340	759.88
14350	716.25
14360	716.25
14370	716.25
14380	716.25
14390	716.25
14400	796.34
14410	716.66
14420	716.25
14421	774.87
14440	716.25
14450	791.62
14460	716.25
14470	716.25
14480	716.25
14490	716.25
14500	791.62
14510	716.25
14520	716.25
14530	791.62
14540	791.62
14550	791.62
14560	716.25
14570	791.62
14580	716.25
14590	716.25
14600	716.25
14610	716.25
14620	716.25
14630	716.25
14640	791.62
14650	716.25
14660	716.25
14670	791.62
14680	791.62
14690	809.6
14700	791.62
14710	716.25
14720	716.25
14730	716.25
14740	791.62
14750	791.62
14760	716.25
14770	716.25
14780	716.25
14790	791.62
14800	791.62
14810	746.07
14820	716.25
14830	716.25
14831	810.39
14850	716.25
14860	716.25
14870	716.25
14880	716.25
14890	791.62
14900	791.62
14910	716.25
14920	716.25
14921	716.25
14940	716.25
14950	749.98
14960	791.62
14970	716.25
14980	791.62
14981	716.25
14982	716.25
14983	716.25
14984	716.25
14985	779.34
14986	716.25
14987	716.25
14988	716.25
14989	818.92
14990	716.25
14991	791.62
14992	791.62
15000	791.62
15010	791.62
15020	722.35
15030	736.07
15040	716.25
15050	791.62
15060	791.62
15070	716.25
15080	716.25
15090	791.62
15100	716.25
15110	727.44
15120	716.25
15130	716.25
15140	791.62
15150	717.29
15160	791.62
15170	716.25
15180	716.25
15190	716.25
15200	716.25
15210	791.62
15220	744.4
15230	791.62
15240	716.25
15250	791.62
15260	716.25
15270	716.25
15280	791.62
15290	791.62
15300	791.62
15310	791.62
15320	716.25
15330	741.11
15340	791.62
15350	716.25
15360	795.46
15370	716.25
15380	716.25
15390	716.25
15400	791.62
15410	750.3
15420	716.25
15430	716.25
15440	813.35
15450	724.05
15460	717.31
15470	791.62
15480	791.62
15490	716.25
15500	721.24
15510	716.25
15520	716.25
15530	726.94
15540	791.62
15550	791.62
15560	716.25
15570	791.62
15580	716.25
15590	716.25
15600	716.25
15610	718.42
15620	716.25
15630	791.62
15640	791.62
15650	716.25
15660	791.62
15670	747.5
15680	716.25
15690	716.25
15700	791.62
15710	791.62
15720	791.62
15730	716.25
15740	716.25
15750	725.9
15760	716.25
15770	716.25
15780	716.25
15790	743.89
15800	716.25
15810	791.62
15820	716.25
15830	716.25
15840	716.25
15850	772.24
15860	791.62
15870	791.62
15880	716.25
15890	791.62
15900	741.14
15910	791.62
16000	716.25
16010	716.25
16020	716.25
16030	716.25
16040	716.25
16050	716.25
16060	728.18
16070	716.25
16080	716.25
16090	716.25
16100	716.25
16110	716.25
16120	716.25
16130	716.25
16140	716.25
16150	716.25
16160	716.25
16170	716.25
16180	716.25
16190	716.25
16200	716.25
16210	716.25
16220	716.25
16230	716.25
16240	791.62
16250	716.25
16260	716.25
16270	716.25
16280	716.25
16290	716.25
16300	789.35
16310	716.25
16320	716.25
16330	716.25
16340	716.25
16350	776.9
16360	716.25
16370	716.25
16380	791.62
16390	716.25
16400	716.25
16410	716.25
16420	791.62
16430	716.25
16440	716.25
16450	716.25
16460	716.25
16470	716.25
16480	716.25
16490	716.25
16500	716.25
16510	716.25
16520	716.25
16530	716.25
16540	716.25
16550	716.25
16560	716.25
16570	716.25
16580	716.25
16590	716.25
16600	791.62
16610	716.25
16620	716.25
16630	716.25
16640	791.62
16650	716.25
16660	788.38
16670	716.25
16680	716.25
16690	716.25
16700	716.25
16710	716.25
16720	716.25
16730	716.25
16740	716.25
16750	716.25
16760	791.62
16770	791.62
16780	716.25
16790	716.25
16800	716.25
16810	791.62
16820	716.25
16830	716.25
16840	716.25
16850	716.25
16860	716.25
16870	716.25
16880	716.25
16890	716.25
16900	791.62
16910	716.25
16920	716.25
16930	716.25
16940	716.25
16950	716.25
16960	716.25
16970	716.25
16980	716.25
17000	716.25
17010	790.36
17020	737.66
17030	796.08
17040	793.9
17050	813.41
17060	716.25
17070	791.62
17080	739.61
17090	718.04
17100	739.79
17110	859.82
17120	765.67
17130	716.25
17140	716.25
17150	881.59
17160	807.15
17170	716.25
17180	725.49
17190	792.92
17200	716.25
17210	725.73
17220	716.25
17230	826.49
17240	716.25
17250	861.33
17260	909.63
17270	754.34
17280	716.25
17290	791.62
17300	716.25
17310	760.99
17320	909.48
17330	802.44
17340	716.25
17350	798.21
17360	821.65
17370	793.98
17380	716.25
17390	791.62
17391	896.25
17410	808.75
17420	716.25
17430	716.25
17440	727.63
17450	791.62
17451	828.72
17470	776.62
17480	800.8
17490	716.25
17500	988.78
17510	797.68
17520	746.98
17530	849.68
17540	926.61
17550	716.25
17560	716.25
17570	716.25
17580	775.49
17590	913.26
17600	894.04
17610	716.25
17620	716.25
17630	716.25
17640	876.44
17650	749.31
17660	752.41
17670	731.02
17680	716.25
17690	716.25
17700	716.25
17710	716.25
17720	774.99
17730	762.65
17740	772.83
17750	868.44
17760	888.01
17770	734.88
17780	716.25
17790	791.44
17800	716.25
17810	851.54
17820	841.07
17830	793.11
17840	716.25
17841	940.11
17860	791.62
17870	733.05
17880	716.25
17890	820.61
17900	770.02
17910	716.25
17920	759.05
17921	731.43
17940	957.41
17950	791.62
17960	893.21
17970	791.2
17980	716.25
17981	759.44
17982	716.25
17983	918.18
17984	716.25
17985	716.25
17986	845.35
18000	822.71
18010	739.74
18020	716.25
18030	716.25
18040	716.25
18050	716.25
18060	721.12
18070	791.62
18080	791.62
18090	791.62
18100	716.25
18110	791.62
18120	716.25
18130	716.25
18140	791.62
18150	744.28
18160	716.46
18170	716.25
18180	791.62
18190	716.25
18191	724.42
18210	791.62
18220	766.95
18230	716.25
18240	791.62
18250	716.25
18260	868.45
18270	783.93
18271	863.47
18290	716.25
18291	716.25
18310	716.25
18320	716.25
18330	791.62
18340	716.25
18350	795.44
18360	716.25
18361	724.73
18362	818.54
18390	716.25
18400	791.62
18410	716.25
18420	716.25
18421	727.57
18440	791.62
18450	716.25
18460	716.25
18470	789.16
18480	716.25
18490	716.25
18500	791.62
18510	791.62
18511	716.25
18530	716.25
18540	716.25
18550	791.62
18560	791.62
18570	716.25
18580	791.62
18590	752.79
18600	716.25
18610	716.25
18620	716.25
18630	716.25
18640	716.25
18650	716.25
18660	826.5
18670	716.25
18680	716.25
18690	774.57
18700	783.51
18710	716.25
18720	760.7
18730	716.25
18740	716.25
18750	791.62
18760	724.01
18770	716.25
18780	716.25
18790	746.1
18800	716.25
18801	803.62
18802	716.25
18830	716.25
18831	716.25
18850	773.52
18860	716.25
18861	716.25
18880	716.25
18890	791.62
18900	716.25
18910	716.25
18920	791.62
18930	719.33
18931	716.25
18932	791.62
18960	771.99
18970	743.41
18971	716.25
18972	716.25
18973	716.25
18974	716.25
18975	716.25
18976	716.25
18977	791.62
18978	791.62
18979	754.59
18980	791.62
18981	716.25
18982	716.25
18983	716.25
18984	791.62
18985	716.26
18986	763.98
18987	716.25
18988	716.25
18989	791.62
18990	746.68
18991	716.25
18992	791.62
19000	818.18
19010	950.26
19020	1219.29
19030	991.8
19040	1001.97
19050	779.21
19060	952.72
19070	948.71
19080	866.14
19090	886.94
19100	1154.63
19110	952.59
19120	960.57
19130	957.46
19140	899.05
19150	935.4
19160	959.13
19170	1062.61
19180	1030.28
19190	902.08
19200	938.99
19210	959.93
19220	778.9
19230	1161.12
19240	939.16
19250	946.87
19260	848
19270	899.76
19280	842.77
19290	953.43
19300	843.73
19310	982.97
19320	1155.38
19330	1036.69
19340	866.69
19350	1072.49
19360	959.57
19370	1002.04
19380	1006.5
19390	926.27
19400	884.83
19410	949.71
19420	810.75
19430	1229.84
19440	972.02
19450	989.16
19460	1184.19
19470	1208.44
19480	909.3
19490	851.84
19500	973.32
19510	965.02
19520	957.46
19530	933.79
19540	810.23
19550	1025.93
