PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
010001	0.7567	0	0.12437	1	0.8262	0	0.05866	1	OURBAN	0.273	0.027
010005	0.869	0	0.10898	1	0.9083	0	0	1	RURAL	0.325	0.06
010006	0.7693	0	0.08075	1	0.8356	0	0.04738	1	OURBAN	0.229	0.018
010007	0.7567	0	0.09368	1	0.8262	0	0	1	RURAL	0.478	0.047
010008	0.7741	0	0.12	1	0.8392	0	0	1	RURAL	0.398	0.013
010009	0.8725	0	0.10032	1	0.9108	0	0.05242	1	OURBAN	0.174	0.016
010010	0.869	0	0.08915	1	0.9083	0	0	1	RURAL	0.312	0.043
010011	0.8856	0.02593	0.0348	1	0.9202	0.01981	0.03399	1	LURBAN	0.303	0.019
010012	0.9388	0	0.12	1	0.9577	0	0	1	RURAL	0.264	0.023
010015	0.7613	0	0.12	1	0.8296	0	0	1	RURAL	0.383	0.035
010016	0.8856	0	0.09374	1	0.9202	0	0.05073	1	LURBAN	0.189	0.015
010018	0.8856	0.20578	0.03112	1	0.9202	0.52699	0	1	LURBAN	0.481	0.054
010019	0.7693	0	0.11736	1	0.8356	0	0.05683	1	OURBAN	0.375	0.044
010021	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.335	0.028
010022	0.9813	0	0.04462	1	0.9872	0	0	1	LURBAN	0.338	0.046
010023	0.8112	0.0492	0.2799	1	0.8665	0.04693	0.09985	1	OURBAN	0.21	0.015
010024	0.8112	0	0.12593	1	0.8665	0	0.05906	1	OURBAN	0.287	0.04
010025	0.8588	0	0.13039	1	0.9010	0	0	1	RURAL	0.514	0.03
010027	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.618	0.019
010029	0.8588	0	0.13175	1	0.9010	0	0.06057	1	OURBAN	0.444	0.026
010032	0.7892	0	0.06767	1	0.8503	0	0	1	RURAL	0.548	0.012
010033	0.8856	0.15041	0.1937	1	0.9202	0.13432	0.07682	1	LURBAN	0.282	0.024
010034	0.8112	0	0.10994	1	0.8665	0	0	1	OURBAN	0.501	0.044
010035	0.869	0	0.08936	1	0.9083	0	0	1	RURAL	0.265	0.037
010036	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.226	0.019
010038	0.8023	0	0.04624	1	0.8600	0	0.03769	1	OURBAN	0.182	0.016
010039	0.9018	0.02348	0.07122	1	0.9317	0.01863	0.04493	1	OURBAN	0.229	0.017
010040	0.8144	0	0.07929	1	0.8688	0	0.04701	1	OURBAN	0.128	0.007
010043	0.8856	0	0	1	0.9202	0	0	1	LURBAN	0.472	0.035
010044	0.869	0	0.03071	1	0.9083	0	0	1	RURAL	0.342	0.034
010045	0.869	0	0.09468	1	0.9083	0	0	1	RURAL	0.345	0.033
010046	0.8144	0	0.03642	1	0.8688	0	0.03452	1	OURBAN	0.154	0.014
010047	0.7694	0	0.13098	1	0.8357	0	0	1	RURAL	0.68	0.034
010049	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.192	0.012
010050	0.8856	0	0.05825	1	0.9202	0	0	1	LURBAN	0.366	0.046
010051	0.8531	0	0.12	1	0.8969	0	0	1	OURBAN	1.04	0.036
010052	0.767	0	0.12	1	0.8339	0	0	1	RURAL	0.367	0.025
010054	0.8725	0	0.13958	1	0.9108	0	0.06262	1	OURBAN	0.176	0.016
010055	0.7567	0	0.04576	1	0.8262	0	0.03753	1	OURBAN	0.154	0.014
010056	0.8856	0.00164	0	1	0.9202	0.0011	0.01189	1	LURBAN	0.359	0.028
010058	0.8856	0	0.08467	1	0.9202	0	0	1	LURBAN	0.589	0.04
010059	0.8725	0	0.09582	1	0.9108	0	0	1	OURBAN	0.313	0.023
010061	0.8109	0	0.12	1	0.8663	0	0	1	RURAL	0.368	0.029
010062	0.7567	0	0.12	1	0.8262	0	0	1	OURBAN	0.475	0.05
010064	0.8856	0.10674	0.04536	1	0.9202	0.13428	0.0374	1	LURBAN	0.237	0.022
010065	0.869	0	0.06988	1	0.9083	0	0	1	RURAL	0.379	0.032
010066	0.7567	0	0.05716	1	0.8262	0	0	1	RURAL	0.514	0.006
010069	0.7567	0	0.10931	1	0.8262	0	0	1	RURAL	0.241	0.016
010073	0.7567	0	0.03779	1	0.8262	0	0	1	RURAL	0.48	0.027
010078	0.8023	0.02943	0.10439	1	0.8600	0.01756	0.05348	1	OURBAN	0.199	0.018
010079	0.9018	0	0.12335	1	0.9317	0	0.05839	1	OURBAN	0.432	0.052
010083	0.8123	0	0.07231	1	0.8673	0	0	1	RURAL	0.232	0.023
010084	0.8856	0	0	1	0.9202	0	0.00748	1	LURBAN	0.573	0.143
010085	0.8725	0	0.09834	1	0.9108	0	0.05191	1	OURBAN	0.29	0.035
010086	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.256	0.02
010087	0.7948	0.29674	0.30585	1	0.8545	0.36204	0.10688	1	OURBAN	0.401	0.014
010089	0.8856	0	0.14731	1	0.9202	0	0.06463	1	LURBAN	0.194	0.021
010090	0.854	0	0.02609	1	0.8976	0	0.03119	1	OURBAN	0.303	0.018
010091	0.7613	0	0.12	1	0.8296	0	0	1	RURAL	0.3	0.023
010092	0.8531	0.04201	0.14122	1	0.8969	0.02885	0.06304	1	OURBAN	0.235	0.021
010095	0.8531	0	0.12	1	0.8969	0	0	1	OURBAN	0.507	0.037
010097	0.8112	0	0.12	1	0.8665	0	0	1	OURBAN	0.521	0.067
010099	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.449	0.035
010100	0.8123	0	0	1	0.8673	0	0	1	RURAL	0.359	0.056
010101	0.869	0	0.12	1	0.9083	0	0	1	LURBAN	0.276	0.021
010102	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	1.08	0.132
010103	0.8856	0.0608	0.05901	1	0.9202	0.05365	0.04181	1	LURBAN	0.16	0.013
010104	0.8856	0.05116	0.03597	1	0.9202	0.04695	0.03437	1	LURBAN	0.178	0.01
010108	0.8112	0	0.03922	1	0.8665	0	0	1	OURBAN	0.22	0.028
010109	0.8018	0	0.12	1	0.8596	0	0	1	RURAL	0.496	0.015
010110	0.7782	0	0.12	1	0.8422	0	0	1	RURAL	0.455	0.034
010112	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.452	0.032
010113	0.7948	0.00027	0.08659	1	0.8545	0.00028	0.04888	1	OURBAN	0.308	0.025
010114	0.8856	0	0.06543	1	0.9202	0	0.04345	1	LURBAN	0.213	0.014
010118	0.8162	0.03882	0.35656	1	0.8702	0.04071	0	1	RURAL	0.274	0.02
010120	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.367	0.029
010125	0.8043	0	0.12	1	0.8615	0	0	1	RURAL	0.278	0.055
010126	0.8112	0	0.12	1	0.8665	0	0	1	RURAL	0.203	0.021
010128	0.7613	0	0.12	1	0.8296	0	0	1	RURAL	0.466	0.054
010129	0.7701	0	0.12	1	0.8362	0	0	1	RURAL	0.545	0.062
010130	0.8856	0	0.05104	1	0.9202	0	0	1	LURBAN	0.433	0.02
010131	0.9018	0	0	1	0.9317	0	0.01958	1	OURBAN	0.134	0.016
010137	0.8856	0.01227	0.34244	1	0.9202	0.01513	0.11686	1	LURBAN	0.715	0.015
010138	0.7633	0	0.12	1	0.8311	0	0	1	RURAL	0.588	0.038
010139	0.8856	0	0	1	0.9202	0	0.01984	1	LURBAN	0.12	0.011
010143	0.869	0	0.06786	1	0.9083	0	0	1	RURAL	0.161	0.012
010144	0.7948	0.00246	0	1	0.8545	0.00167	0.02178	1	OURBAN	0.35	0.038
010145	0.8531	0	0.22953	1	0.8969	0	0.08634	1	OURBAN	0.259	0.027
010146	0.8023	0	0.12	1	0.8600	0	0	1	OURBAN	0.256	0.033
010148	0.7567	0	0.12	1	0.8262	0	0	1	RURAL	0.434	0.019
010149	0.8112	0	0.23382	1	0.8665	0	0.08748	1	OURBAN	0.204	0.019
010150	0.8112	0	0.12	1	0.8665	0	0	1	RURAL	0.168	0.022
010152	0.7948	0.12	0.17168	1	0.8545	0.1906	0.07102	1	OURBAN	0.441	0.021
010157	0.7693	0	0.02525	1	0.8356	0	0.03092	1	OURBAN	0.286	0.053
010158	0.7832	0	0.12	1	0.8459	0	0	1	RURAL	0.234	0.032
010164	0.7976	0	0.14956	1	0.8565	0	0.06522	1	OURBAN	0.226	0.015
010167	0.8856	0	0	1	0.9202	0	0.02013	1	LURBAN	0.369	0.067
010168	0.902	0	0	1	0.9318	0	0	1	OURBAN	0.263	0.025
020001	1.2084	0.03224	0.185	1.07565	1.1384	0.02512	0.07453	1.24	OURBAN	0.395	0.026
020006	1.2084	0	0.12	1.07565	1.1384	0	0	1.24	OURBAN	0.473	0.038
020008	1.2084	0	0.12	1.07565	1.1384	0	0	1.24	RURAL	0.766	0.04
020012	1.2084	0	0.1757	1.07565	1.1384	0	0.07208	1.24	OURBAN	0.625	0.049
020014	1.2084	0	0.12	1.0788	1.1384	0	0	1.25	RURAL	0.884	0.071
020017	1.2084	0	0.11497	1.07565	1.1384	0	0.05621	1.24	OURBAN	0.278	0.038
020018	1.928	0	0.12	1.0788	1.5676	0	0	1.25	RURAL	0.7	0.03904
020019	1.928	0	0	1.0788	1.5676	0	0	1.25	RURAL	0.7	0.03904
020024	1.2084	0	0.12	1.0788	1.1384	0	0	1.25	RURAL	0.687	0.072
020026	1.928	0	0.12	1.07565	1.5676	0	0	1.24	RURAL	0.407	0.03904
020027	1.928	0	0	1.0788	1.5676	0	0	1.25	RURAL	0.7	0.03904
030001	1.0111	0	0.4436	1	1.0076	0	0.14495	1	LURBAN	0.24	0.015
030002	1.0111	0.11521	0.20162	1	1.0076	0.08403	0.07892	1	LURBAN	0.25	0.023
030006	0.9417	0.04977	0.19777	1	0.9597	0.03646	0.0779	1	OURBAN	0.328	0.026
030007	1.1187	0	0.09804	1	1.0798	0	0	1	OURBAN	0.316	0.028
030010	0.9417	0	0.21052	1	0.9597	0	0.08128	1	OURBAN	0.282	0.023
030011	0.9417	0	0.09108	1	0.9597	0	0.05004	1	OURBAN	0.286	0.019
030012	0.9961	0	0.0701	1	0.9973	0	0.04465	1	OURBAN	0.388	0.034
030013	1.0086	0	0.10931	1	1.0059	0	0.05475	1	OURBAN	0.33	0.025
030014	1.0111	0.01028	0.15182	1	1.0076	0.01258	0.06581	1	LURBAN	0.233	0.013
030016	1.0111	0	0.19228	1	1.0076	0	0.07645	1	LURBAN	0.329	0.049
030017	1.0111	0.06013	0.24422	1	1.0076	0.07258	0.09026	1	LURBAN	0.222	0.028
030018	1.0111	0	0.18061	1	1.0076	0	0.07337	1	LURBAN	0.233	0.017
030019	1.0111	0.04493	0.12	1	1.0076	0.03889	0	1	LURBAN	0.232	0.034
030022	1.0111	0.22527	0.64952	1	1.0076	0.26779	0.2043	1	LURBAN	0.29	0.01
030023	1.1552	0	0.26398	1	1.1038	0	0.09556	1	OURBAN	0.408	0.029
030024	1.0111	0.12678	0.37275	1	1.0076	0.09955	0.12521	1	LURBAN	0.227	0.016
030030	1.0111	0.03782	0.3052	1	1.0076	0.05562	0.1067	1	LURBAN	0.305	0.028
030033	1.1187	0	0.10075	1	1.0798	0	0	1	RURAL	0.23	0.027
030036	1.0111	0	0.12235	1	1.0076	0	0.05813	1	LURBAN	0.199	0.014
030037	1.0111	0	0.16748	1	1.0076	0	0.06992	1	LURBAN	0.194	0.027
030038	1.0111	0.0297	0.05889	1	1.0076	0.02419	0.04178	1	LURBAN	0.274	0.015
030043	0.8855	0	0.12	1	0.9201	0	0	1	RURAL	0.454	0.029
030055	0.9577	0.05442	0.12567	1	0.9708	0.05232	0.05899	1	OURBAN	0.447	0.036
030061	1.0111	0.00338	0	1	1.0076	0.00206	0.0187	1	LURBAN	0.221	0.011
030062	0.8855	0	0.12	1	0.9201	0	0	1	RURAL	0.427	0.035
030064	0.9417	0.33378	0.33093	1	0.9597	0.30831	0.11371	1	OURBAN	0.287	0.016
030065	1.0111	0	0.13779	1	1.0076	0	0.06215	1	LURBAN	0.281	0.023
030067	0.9153	0	0.02939	1	0.9412	0	0	1	RURAL	0.35	0.021
030068	0.8855	0	0.12	1	0.9201	0	0	1	RURAL	0.54	0.054
030069	0.9334	0	0.04514	1	0.9539	0	0.03733	1	OURBAN	0.264	0.031
030071	1.4401	0	0.12	1	1.2837	0	0	1	RURAL	0.36	0.023
030073	1.4401	0	0.12	1	1.2837	0	0	1	RURAL	0.284	0.023
030074	1.4401	0	0.12	1	1.2837	0	0	1	RURAL	0.36	0.023
030077	1.4401	0	0.12	1	1.2837	0	0	1	RURAL	0.36	0.023
030078	1.4401	0	0.07919	1	1.2837	0	0	1	RURAL	0.284	0.023
030080	0.9417	0	0	1	0.9597	0	0.01719	1	OURBAN	0.318	0.022
030083	1.0111	0	0.1433	1	1.0076	0	0.06358	1	LURBAN	0.238	0.026
030084	1.4401	0	0.12	1	1.2837	0	0	1	RURAL	0.36	0.023
030085	0.9417	0	0.08409	1	0.9597	0	0.04824	1	OURBAN	0.238	0.019
030087	1.0111	0.00289	0	1	1.0076	0.00251	0.01937	1	LURBAN	0.276	0.021
030088	1.0111	0	0.04221	1	1.0076	0	0.03638	1	LURBAN	0.203	0.011
030089	1.0111	0	0.10908	1	1.0076	0	0.05469	1	LURBAN	0.27	0.02
030092	1.0111	0	0.10063	1	1.0076	0	0.0525	1	LURBAN	0.247	0.027
030093	1.0111	0	0.02817	1	1.0076	0	0.03186	1	LURBAN	0.221	0.014
030094	1.0111	0	0.17748	1	1.0076	0	0.07255	1	LURBAN	0.235	0.013
030099	0.8855	0	0.11513	1	0.9201	0	0	1	RURAL	0.566	0.022
030100	0.9417	0	0	1	0.9597	0	0	1	OURBAN	0.285	0.026
030101	1.1223	0	0.07042	1	1.0822	0	0	1	OURBAN	0.218	0.018
030102	1.0111	0	0	1	1.0076	0	0	1	LURBAN	0.291	0.029
030103	1.0111	0.14218	0	1	1.0076	0.09078	0.00325	1	LURBAN	0.373	0.037
