PRVDRNUM	PRWI	TCHOP	DSHOPG	COLACP	GAF	TCHCP	DSHCPG	COLA	URSPA	OPCCR	CPCCR
360006	0.9884	0.07383	0	1	0.992	0.0289	0.02847	1	LURBAN	0.309	0.03
360008	0.8732	0.02428	0.15473	1	0.9113	0.0089	0	1	RURAL	0.351	0.031
360009	0.9272	0	0.0405	1	0.9496	0	0.03583	1	OURBAN	0.373	0.029
360010	0.8821	0	0.05186	1	0.9177	0	0	1	RURAL	0.683	0.061
360011	0.9663	0	0.09659	1	0.9768	0	0	1	RURAL	0.422	0.032
360012	0.9884	0.00946	0.07443	1	0.992	0.00344	0.04576	1	LURBAN	0.293	0.027
360013	0.9272	0	0.05975	1	0.9496	0	0	1	RURAL	0.539	0.04
360014	0.9663	0.1013	0.12	1	0.9768	0.07377	0	1	RURAL	0.561	0.041
360016	0.956	0.1063	0	1	0.9697	0.03793	0.01938	1	LURBAN	0.293	0.031
360017	0.9884	0.10801	0.18144	1	0.992	0.04269	0.07359	1	LURBAN	0.302	0.022
360019	0.9248	0.06167	0.08494	1	0.9479	0.02395	0.04846	1	OURBAN	0.253	0.02
360020	0.9248	0.14952	0.09469	1	0.9479	0.0609	0.05097	1	OURBAN	0.259	0.024
360025	0.9243	0.02768	0	1	0.9475	0.01223	0.02418	1	OURBAN	0.352	0.021
360026	0.9295	0.01098	0.05846	1	0.9512	0.01061	0.04164	1	OURBAN	0.411	0.032
360027	0.9248	0.1295	0.03832	1	0.9479	0.04922	0.03513	1	OURBAN	0.282	0.02
360029	0.9243	0	0	1	0.9475	0	0	1	OURBAN	0.609	0.057
360032	0.857	0.00589	0	1	0.8997	0.00286	0	1	RURAL	0.612	0.048
360035	0.9884	0.05787	0.07178	1	0.992	0.02317	0.04508	1	LURBAN	0.283	0.024
360036	0.9248	0	0.04356	1	0.9479	0	0	1	RURAL	0.69	0.06
360037	0.9248	0.18126	0.3169	1	0.9479	0.09433	0.10989	1	LURBAN	0.414	0.025
360038	0.956	0	0	1	0.9697	0	0.02193	1	LURBAN	0.431	0.031
360039	0.9663	0	0.11691	1	0.9768	0	0	1	RURAL	0.403	0.025
360040	0.8957	0	0.02773	1	0.9273	0	0	1	RURAL	0.577	0.053
360041	0.9248	0	0	1	0.9479	0	0.00741	1	LURBAN	0.35	0.028
360044	0.8697	0	0	1	0.9088	0	0	1	RURAL	0.62	0.04
360046	0.956	0	0.02687	1	0.9697	0	0	1	LURBAN	0.74	0.099
360048	0.9243	0.35014	0.10138	1	0.9475	0.15925	0.0527	1	OURBAN	0.357	0.02
360051	0.9295	0.08128	0.16277	1	0.9512	0.02987	0.06868	1	OURBAN	0.325	0.021
360052	0.9295	0.08299	0.09762	1	0.9512	0.03558	0.05173	1	OURBAN	0.319	0.024
360054	0.8732	0	0.13237	1	0.9113	0	0	1	RURAL	0.41	0.039
360055	0.8904	0	0.04117	1	0.9236	0	0.03605	1	OURBAN	0.292	0.018
360056	0.956	0	0	1	0.9697	0	0.02264	1	LURBAN	0.358	0.036
360058	0.857	0	0	1	0.8997	0	0	1	RURAL	0.604	0.043
360059	0.9248	0.35543	0.37958	1	0.9479	0.1973	0.12709	1	LURBAN	0.347	0.025
